"title","company","location","date","link"
"Data Analytics Intern - Fall 2024 - Smyrna, TN","Nissan Motor Corporation","Smyrna, TN","2024-06-18","https://www.linkedin.com/jobs/view/data-analytics-intern-fall-2024-smyrna-tn-at-nissan-motor-corporation-3952541094?position=1&pageNum=0&refId=PBdXzQYgdE3sVqb6UZmT0Q%3D%3D&trackingId=fJVrY6vXfI5o6rLrgp9Www%3D%3D&trk=public_jobs_jserp-result_search-card"
"Data Analyst Internship - Data Science & Gen-AI Team","Peerlogic","Scottsdale, AZ","2024-06-26","https://www.linkedin.com/jobs/view/data-analyst-internship-data-science-gen-ai-team-at-peerlogic-3960000140?position=2&pageNum=0&refId=PBdXzQYgdE3sVqb6UZmT0Q%3D%3D&trackingId=sSyKwOiC5JDWA2Bfv3G27w%3D%3D&trk=public_jobs_jserp-result_search-card"
"Intern, Data Analytics (Summer 2025)","Wiss","Florham Park, NJ","2024-06-18","https://www.linkedin.com/jobs/view/intern-data-analytics-summer-2025-at-wiss-3931682226?position=3&pageNum=0&refId=PBdXzQYgdE3sVqb6UZmT0Q%3D%3D&trackingId=7GEqx5DbRWtOJFAbL8Buaw%3D%3D&trk=public_jobs_jserp-result_search-card"
"Data & Analytics Intern (Fall 2024)","Precision","New York, NY","2024-06-18","https://www.linkedin.com/jobs/view/data-analytics-intern-fall-2024-at-precision-3951798898?position=6&pageNum=0&refId=PBdXzQYgdE3sVqb6UZmT0Q%3D%3D&trackingId=OT4UvoGeZcHyy%2B90sd1Zzg%3D%3D&trk=public_jobs_jserp-result_search-card"
"Data Engineering Intern - Paid","Open Road Integrated Media Inc.","New York, NY","2024-06-13","https://www.linkedin.com/jobs/view/data-engineering-intern-paid-at-open-road-integrated-media-inc-3949814278?position=7&pageNum=0&refId=PBdXzQYgdE3sVqb6UZmT0Q%3D%3D&trackingId=0IufZEW8n4YPTOiFOTZCfQ%3D%3D&trk=public_jobs_jserp-result_search-card"
"IT Systems and Data Analysis Intern","WHYY","Philadelphia, PA","2024-06-28","https://www.linkedin.com/jobs/view/it-systems-and-data-analysis-intern-at-whyy-3963027497?position=8&pageNum=0&refId=PBdXzQYgdE3sVqb6UZmT0Q%3D%3D&trackingId=d4w6bohycyCshQXsuK1sSw%3D%3D&trk=public_jobs_jserp-result_search-card"
"Data Analytics & Visualization Analyst -(Berkeley Heights, NJ)","VetJobs","Oregon, United States","2024-06-27","https://www.linkedin.com/jobs/view/data-analytics-visualization-analyst-berkeley-heights-nj-at-vetjobs-3962411074?position=9&pageNum=0&refId=PBdXzQYgdE3sVqb6UZmT0Q%3D%3D&trackingId=ucoDgczYwXwHPykobMgW1g%3D%3D&trk=public_jobs_jserp-result_search-card"
"Co-op, Crew Resources - Data Analyst (Fall, 2024)","Delta Air Lines","Atlanta, GA","2024-06-22","https://www.linkedin.com/jobs/view/co-op-crew-resources-data-analyst-fall-2024-at-delta-air-lines-3923065263?position=10&pageNum=0&refId=PBdXzQYgdE3sVqb6UZmT0Q%3D%3D&trackingId=Trs2UiWDXrzGZzgVbaFCeQ%3D%3D&trk=public_jobs_jserp-result_search-card"
"Global Quantitative Analytics Summer 2025 Analyst","Bank of America","New York, NY","2024-06-22","https://www.linkedin.com/jobs/view/global-quantitative-analytics-summer-2025-analyst-at-bank-of-america-3938081041?position=14&pageNum=0&refId=PBdXzQYgdE3sVqb6UZmT0Q%3D%3D&trackingId=U76OHLNHGBxxaV97F4ODlQ%3D%3D&trk=public_jobs_jserp-result_search-card"
"CNN Polling and Data Analytics Intern: DC - Fall 2024","myGwork - LGBTQ+ Business Community","Washington, United States","2024-07-04","https://www.linkedin.com/jobs/view/cnn-polling-and-data-analytics-intern-dc-fall-2024-at-mygwork-lgbtq%2B-business-community-3964497162?position=16&pageNum=0&refId=PBdXzQYgdE3sVqb6UZmT0Q%3D%3D&trackingId=KLoWxNDDkHic05lX6mrUPg%3D%3D&trk=public_jobs_jserp-result_search-card"
"Summer 2024, Data Analytics Engineering Intern, Local candidates Only","Western Digital","San Jose, CA","2024-06-28","https://www.linkedin.com/jobs/view/summer-2024-data-analytics-engineering-intern-local-candidates-only-at-western-digital-3963082708?position=17&pageNum=0&refId=PBdXzQYgdE3sVqb6UZmT0Q%3D%3D&trackingId=GF4W18roX6hUiyBCV2fmFg%3D%3D&trk=public_jobs_jserp-result_search-card"
"Database Developer Intern","Copart","Dallas, TX","2024-06-28","https://www.linkedin.com/jobs/view/database-developer-intern-at-copart-3960223616?position=18&pageNum=0&refId=PBdXzQYgdE3sVqb6UZmT0Q%3D%3D&trackingId=rcxFVQcGL7mpGxguIlgRSA%3D%3D&trk=public_jobs_jserp-result_search-card"
"Data Analyst Training And Placement","AGAP Technologies Inc","Kansas City, MO","2024-06-15","https://www.linkedin.com/jobs/view/data-analyst-training-and-placement-at-agap-technologies-inc-3950284360?position=21&pageNum=0&refId=PBdXzQYgdE3sVqb6UZmT0Q%3D%3D&trackingId=JI9umt572v6PPGCKewWmxQ%3D%3D&trk=public_jobs_jserp-result_search-card"
"Global Quantitative Analytics Summer 2025 Analyst","Bank of America","Jersey City, NJ","2024-06-22","https://www.linkedin.com/jobs/view/global-quantitative-analytics-summer-2025-analyst-at-bank-of-america-3938081039?position=22&pageNum=0&refId=PBdXzQYgdE3sVqb6UZmT0Q%3D%3D&trackingId=VkFXjNNmEEfePvq6sCJwVg%3D%3D&trk=public_jobs_jserp-result_search-card"
